Unnamed: 0,Title,Text,Category,Links,Cite Books,Clean Tokens,Link Count
28,Tristan  Bernard,TristanBernard.txt,"['Lycée Condorcet alumni', 'Burials at Passy Cemetery', '20th-century male writers', '20th-century French novelists', '19th-century French novelists', '20th-century French dramatists and playwrights', '19th-century French dramatists and playwrights', 'French people of World War II', 'French Jews', '20th-century French journalists', '19th-century French journalists', 'People from Besançon', '1947 deaths', '1866 births']",2211,0,525,0
29,Statistical hypothesis testing,Statisticalhypothesistesting.txt,"['Mathematical and quantitative methods (economics)', 'Logic and statistics', 'Psychometrics', 'Statistical hypothesis testing| ', 'Design of experiments']",4630,2,2990,45
30,The  Hobbit,TheHobbit.txt,"[""British children's novels"", 'Allen & Unwin books', 'BILBY Award-winning works', 'British fantasy novels', 'Dragons in popular culture', 'British novels adapted into films', 'Adventure novels', '1937 fantasy novels', ""1937 children's books"", '1937 British novels', 'The Hobbit| ']",8199,0,3608,67
31,Tax  Freedom  Day,TaxFreedomDay.txt,"['Libertarian terms', 'Unofficial observances', 'Tax']",3985,0,916,49
32,Tax,Tax.txt,"['30th-century BC establishments', 'Tax| ', 'Egyptian inventions', '3rd-millennium BC establishments in Egypt']",9409,1,3776,81
33,Transhumanism,Transhumanism.txt,"['Utopian movements', 'Theory of mind', 'Technological change', 'Subcultures', 'Science fiction culture', 'Immortality', 'Ideologies', 'Futurology', 'Ethics of science and technology', 'Transhumanism| ', '1990 introductions']",12307,7,3348,30
34,Turkish  Armed  Forces,TurkishArmedForces.txt,['Military of Turkey| '],9415,0,2244,67
35,Foreign relations of  Turkey,ForeignrelationsofTurkey.txt,"['Euromediterranean Partnership', 'Foreign relations of Turkey| ']",21350,0,4363,340
36,History of  Turkmenistan,HistoryofTurkmenistan.txt,['History of Turkmenistan| '],4354,1,1996,33
37,Geography of  Turkmenistan,GeographyofTurkmenistan.txt,[],1612,0,775,1
38,Demographics of  Turkmenistan,DemographicsofTurkmenistan.txt,['Demographics of Turkmenistan| '],1393,0,1186,22
39,Politics of  Turkmenistan,PoliticsofTurkmenistan.txt,['Politics of Turkmenistan| '],5922,0,1277,21
40,Economy of  Turkmenistan,EconomyofTurkmenistan.txt,['Economy of Turkmenistan| '],1501,0,1147,20
41,Telecommunications in  Turkmenistan,TelecommunicationsinTurkmenistan.txt,"['Telecommunications in Asia|Turkmenistan', 'Telecommunications by country|Turkmenistan', 'Internet by country|Turkmenistan', 'Communications in Turkmenistan| ']",2012,0,464,15
42,Transport in  Turkmenistan,TransportinTurkmenistan.txt,['Transport in Turkmenistan| '],2024,0,576,17
43,Armed  Forces of  Turkmenistan,ArmedForcesofTurkmenistan.txt,"['Politics of Turkmenistan', 'Military of Turkmenistan']",4238,0,1131,33
44,Foreign relations of  Turkmenistan,ForeignrelationsofTurkmenistan.txt,"['International organization membership by country|Turkmenistan', 'Foreign relations of Turkmenistan| ']",2167,0,645,17
45,Turks and  Caicos  Islands,TurksandCaicosIslands.txt,"['1970s establishments in the Turks and Caicos Islands', '1973 establishments in the British Empire', '1973 establishments in North America', 'States and territories established in 1973', 'Special territories of the European Union', 'English-speaking countries and territories', 'Dependent territories in North America', 'Countries in the Caribbean', 'British Overseas Territories', 'Turks and Caicos Islands| ']",9293,0,3001,125
46,Telecommunications in the  Turks and  Caicos  Islands,TelecommunicationsintheTurksandCaicosIslands.txt,[],343,0,233,1
47,Tuvalu,Tuvalu.txt,"['Christian states', 'World War II sites', 'States and territories established in 1978', 'Small Island Developing States', 'Member states of the United Nations', 'Member states of the Commonwealth of Nations', 'Islands of Oceania', 'Least developed countries', 'Island countries', 'English-speaking countries and territories', 'Countries in Polynesia', 'Archipelagoes of the Pacific Ocean', '1978 establishments in Oceania', 'Tuvalu| ']",16572,0,6124,284
48,Geography of  Tuvalu,GeographyofTuvalu.txt,['Geography of Tuvalu| '],4706,0,2465,102
49,Demographics of  Tuvalu,DemographicsofTuvalu.txt,"['Demographics by country|Tuvalu', 'Tuvaluan society']",1032,0,556,13
50,Telecommunications in  Tuvalu,TelecommunicationsinTuvalu.txt,[],539,0,290,6
